연도,실제
2000년 06월,11.50%
2000년 05월,11.40%
2000년 04월,11.90%
2000년 03월,12.00%
2000년 02월,8.90%
2000년 01월,7.40%
1999년 12월,7.60%
1999년 11월,7.00%
1999년 10월,8.20%
1999년 09월,9.50%
1999년 08월,9.30%
1999년 07월,9.10%
1999년 06월,8.90%
1999년 05월,9.10%
1999년 04월,9.00%
1999년 03월,2.10%
1999년 02월,17.90%
1999년 01월,11.50%
1998년 12월,11.00%
1998년 11월,10.60%
1998년 10월,10.20%
1998년 09월,7.90%
1998년 08월,7.60%
1998년 07월,7.90%
1998년 06월,8.00%
1998년 05월,7.20%
1998년 04월,9.00%
1998년 03월,9.50%
1998년 02월,1.80%
1998년 01월,9.20%
1997년 12월,11.60%
1997년 11월,11.80%
1997년 10월,11.10%
1997년 09월,10.90%
1997년 08월,8.40%
1997년 07월,12.10%
1997년 06월,11.90%
1997년 05월,11.90%
1997년 04월,13.50%
1997년 03월,10.40%
1997년 02월,10.30%
1997년 01월,14.00%
1996년 12월,13.40%
1996년 11월,13.30%
1996년 10월,13.70%
1996년 09월,10.60%
1996년 08월,12.20%
1996년 07월,13.80%
1996년 06월,13.10%
1996년 05월,13.70%
1996년 04월,12.20%
1996년 03월,12.20%
1996년 02월,16.90%
1996년 01월,14.90%
1995년 12월,12.10%
1995년 11월,12.90%
1995년 10월,11.40%
1995년 09월,11.80%
1995년 08월,13.60%
1995년 07월,13.90%
1995년 06월,13.10%
1995년 05월,15.40%
1995년 04월,16.40%
1995년 03월,15.50%
1995년 02월,11.40%
1995년 01월,18.50%
1994년 12월,23.50%
1994년 11월,24.40%
1994년 10월,21.80%
1994년 09월,29.40%
1994년 08월,15.10%
1994년 07월,15.10%
1994년 06월,17.60%
1994년 05월,16.80%
1994년 04월,16.00%
1994년 03월,3.40%
1994년 02월,27.70%
1994년 01월,25.20%
1993년 12월,16.00%
1993년 11월,13.40%
1993년 10월,16.00%
1993년 09월,19.30%
1993년 08월,21.00%
1993년 07월,25.20%
1993년 06월,22.70%
1993년 05월,21.00%
1993년 04월,21.80%
1993년 03월,27.70%
1993년 02월,8.40%
1993년 01월,26.90%
1992년 12월,21.80%
1992년 11월,18.50%
1992년 10월,17.60%
